,element_id,part_num,color_id
0,4513779,47543,320
1,6300211,67906c01,14
2,4566309,2564,0
3,4275423,53657,1004
4,6194308,92926,71
5,6229123,26561,4
6,4241969,51035,1004
7,4257250,50899pat0001,-1
8,4225201,48336,0
9,4116792,32083,0
10,4226929,32530,71
11,4610371,92907,0
12,6284189,32072,14
13,6151004,25532,-1
14,4647732,96714,0
15,4552507,973c03h03pr1510,0
16,6385742,973c32h02pr5949,73
17,6052829,62885,0
18,4616992,92339,0
19,6003304,93589,0
20,6081410,973c03h18pr2778,0
21,4582137,87797,0
22,4647731,85651,0
23,6143035,78c14,0
24,4278403,53658,1004
25,4169200,42445,0
26,4610381,92912,0
27,6081432,970c00pr0724,0
28,4589901,973c03h03pr1510,0
29,6151197,98603s02pr0022,0
30,4668002,96207,0
31,4614391,87998,0
32,4647730,64991,0
33,6056862,973c30h03pr2533,0
34,4536522,60593,0
35,6055044,973c03h03pr2481,0
36,4545113,59521,0
37,4649165,98108,0
38,6151190,98603s02pr0021,0
39,4200351,45455,1004
40,452226,4522,0
41,6154810,24164pat0001,0
42,4648117,98282,0
43,6076566,15064,0
44,4529159,62699pr0001,0
45,6144001,23800,0
46,6039767,970c00pr0519,0
47,6135402,24123,0
48,4252541,47517c02pr0003,0
49,4609588,93217,0
50,4552541,973c03h03pr1513,0
51,6038654,93069,0
52,4582142,87798,0
53,6037152,970x028pr0444,0
54,6134897,24308,0
55,6005373,4162pr0016,0
56,6139227,23799,0
57,4159140,2339,0
58,4525189,44815,0
59,6056859,973c47h03pr2532,0
60,4506690,59814,0
61,4285877,47452,0
62,6135323,24010,0
63,4629999,3626bpr0815,0
64,6135346,24890,0
65,6019762,91871pr0001,191
66,6160443,19857pat0008,0
67,6146742,51342pat0014,-1
68,4241987,51036,1004
69,6145859,23801,0
70,4292098,50920,0
71,6143830,973c03h01pr2189,0
72,4295007,50922,0
73,6288402,37341,42
74,4598528,92280,0
75,4506799,42450,0
76,6147211,50231pr0003,85
77,4580715,89187,0
78,4264154,51035,1006
79,6150082,24119,0
80,4594770,92340,0
81,4154853,4449,0
82,4156798,33009,0
83,6024730,92947,0
84,4275491,973c03h01pr1184,0
85,4107585,30115,0
86,6000772,54091,0
87,4541966,42114,383
88,4109810,32062,0
89,6024850,970e07,0
90,4278747,47311,0
91,4212899,47715,0
92,6005270,42450,0
93,6151377,98138pr0055,0
94,4169614,42444,0
95,6062883,90640pr0023,0
96,6063494,90640pr0024,0
97,4508205,51874pat0002,0
98,4610708,90649,0
99,6400662,23955,322
100,4285385,42289,0
101,4540698,84638c01pr1442,0
102,6151175,98603s02pr0020,0
103,6056927,970x315pr0586,0
104,6388473,34732,85
105,6055037,970x021pr0570,0
106,6012983,76766,0
107,304126,3041,0
108,4551303,973c03h13pr1496,0
109,6155220,973c03h01pr3489,0
110,6021504,90194,0
111,6116841,21525,9999
112,6058150,50860,0
113,370826,3708,0
114,4529981,973c03h02pr1408,0
115,6122408,3626cpr1748,0
116,4181144,2456,0
117,4538781,64711,0
118,4264752,40249,0
119,655826,6558,0
120,6057706,3626cpr1283,0
121,4177444,43857,0
122,4107462,4266,0
123,4288446,50967,0
124,4226683,2639,0
125,4184285,44308,0
126,6013867,11203,0
127,6147790,24309,0
128,6398772,973c03h09pr0002,0
129,4595443,973c03h12pr1667,0
130,4539552,64343,0
131,6064175,6292,0
132,4143246,30554b,0
133,6139104,24193pr0005,0
134,4589701,31300c03,0
135,4289839,47332,0
136,6254400,90498pr0003,70
137,6138217,98286,0
138,4618269,93554,0
139,4597232,973c03h02pr1682,0
140,4519244,60176,0
141,4169414,42448,0
142,71155,71155,0
143,6158054,24154pat0003,0
144,6174611,4162pr0050,0
145,4105221,30045,0
146,4536184,4617b,0
147,366626,3666,0
148,4207015,30029,0
149,6040299,4182,0
150,4610948,93571,0
151,4216062,47431,0
152,6139403,98138,0
153,4498712,57899,0
154,370126,3701,0
155,389426,3894,0
156,4144025,32531,0
157,434126,4341,0
158,4113923,30170,0
159,4642935,90195,0
160,4106729,30104,0
161,6136436,23850pr0001,0
162,6179847,56823c100,0
163,4290713,32474,0
164,4209683,47406,0
165,4142135,32316,0
166,281526,2815,0
167,6142215,16497pr0003,0
168,4245775,51896b,9999
169,6170505,98282,0
170,6057767,973d20pr2575,0
171,6134665,970c00pr1006,0
172,6129595,973c03h02pr3184,0
173,427526,4275b,0
174,6178141,30932,9999
175,4272943,2345,0
176,4295432,75c15,0
177,4522213,973c03h02pr1367,0
178,4522208,973e100pr1365,0
179,4530127,973c03h03pr1411,0
180,4530723,973c03h02pr1416,0
181,6287858,92456c02pr0320,84
182,6021487,98177pr0002,0
183,6387870,50745,1
184,6159567,12897,0
185,6160241,18827pr0003,0
186,6009018,64225,0
187,6161037,25971pr0002,0
188,6159566,970c00pr1110,0
189,4597998,3069bpr0114,0
190,4516414,60909,0
191,4667555,973c03h01pr1831,0
192,6158472,973g03c14h27pr3519,0
193,4218517,47298,0
194,4144513,30183,0
195,4180469,43713,0
196,6160351,973c03h01pr3543,0
197,4161281,41765,0
198,4289293,54862,0
199,4195539,6238,0
200,4552464,973c03h27pr1508,0
201,6158280,24319pr3517,0
202,6160221,973f012pr3535,0
203,4294669,54034,0
204,4282916,54068,0
205,6159604,92290,0
206,6160242,90388pr0003,0
207,6160236,970x321pr1115,0
208,4289284,54042,0
209,6021001,970c00pr0426,0
210,6164648,41879apr0008,0
211,4289251,4657,0
212,6160393,970c00pr1117,0
213,4612590,42074,0
214,4289369,55007,0
215,6160317,26076pr0001,0
216,6159564,973c03h03pr3529,0
217,4217795,4131,0
218,6133722,14719,0
219,657926,6579,0
220,4552531,973c34h03pr1512,0
221,6141737,92262pr0001,0
222,6141739,92263pr0001,0
223,6141950,18969,0
224,4119324,32173,0
225,4507542,57894,0
226,6134568,3626cpr1840,0
227,6017976,3626cpr1083,0
228,4514342,30033,0
229,4609788,973c03h03pr1513,0
230,4617848,92409,0
231,6124610,87574,0
232,4527983,42061,0
233,4218524,47302,0
234,6147050,24201,0
235,6159506,27066,0
236,6159730,33009pr0001,0
237,6139318,62812,0
238,6337630,973c10h01pr0001,320
239,6291068,42610,0
240,4202895,31205,2
241,4119328,32174,0
242,4107783,32034,0
243,4107767,32014,0
244,4287672,30088,0
245,4184286,44309,0
246,6156991,99563,0
247,373726,3737,0
248,6160862,13783,0
249,615726,6157,0
250,4217004,47976,0
251,4593579,90634,0
252,4180576,43903,0
253,6265306,27925,72
254,6041568,973c03h01pr2409,0
255,6022562,973c03h09pr2241,0
256,4570176,973c03h12pr1574,0
257,4658977,72454,0
258,4539385,64450,0
259,6077729,973c03h14pr2694,0
260,4630778,973c03h12pr1574,0
261,4277967,6133,0
262,6103643,62885,0
263,4144526,2543,0
264,4217900,47576,0
265,6073741,98603s01pr0011,0
266,4549885,85983pr0001,0
267,6145439,973e067pr3351,0
268,6142318,22391,0
269,6145313,3626cpr1906,0
270,6145661,47407,0
271,6145423,973c03h03pr3350,0
272,4566781,87839,0
273,4565616,87791,0
274,6142631,970c00pr1019,0
275,6142179,973c03h03pr3290,0
276,4581740,64275,0
277,6024272,75c19,0
278,6054821,61070,0
279,4566298,973c03h03pr1543,0
280,6029228,973c03h03pr2293,0
281,4558209,60581,0
282,4524697,973c03h01pr1377,0
283,4535370,30518,0
284,6021269,11691pr0002,0
285,6131900,87079pr0220,71
286,6145876,3626cpr1907,0
287,6145889,973c03h12pr3354,0
288,6143087,44375bpr0001,0
289,384426,3844,0
290,6145307,25264pr0001,0
291,6020160,970c00pr0422,0
292,4278015,6046,0
293,4283701,41897,0
294,6125721,970c00pr0948,0
295,4210585,30258,0
296,6023599,84638c01pr1442,0
297,6073879,62711pr0001,0
298,4293456,2587pr0015,0
299,6223305,3626cpr9899,78
300,4584769,57575,0
301,4587171,57564,0
302,6181554,87079pr0111,0
303,6181538,98138pr0072,0
304,6181550,2431pr0088,0
305,4651309,2446pr0008,0
306,6191951,2723pr0002,0
307,4509865,4285b,0
308,6179182,25214,0
309,6125717,970c00pr0947,0
310,4653274,6180pr0003,0
311,6125682,3626cpr0024,0
312,6055426,15618pr0002,0
313,6125703,973c03h03pr2258,0
314,4520576,973c24h02pr1355,0
315,6212207,3068bpr9999,4
316,4597469,973c03h02pr1685,0
317,6143430,60608,0
318,6039763,973c03h22pr2396,0
319,6146542,973c03h03pr3359,0
320,6146594,10907,0
321,6146510,973c03h02pr3356,0
322,4506602,47507,0
323,6254491,973c27h01pr1588,272
324,6131571,22889,0
325,6146579,970c00pr1046,0
326,6056757,15498,0
327,6039890,2587pr0031,0
328,4112108,31171,0
329,6174627,4162pr0001,0
330,6162892,26603,0
331,394026,3940b,0
332,245626,2456,0
333,4238012,3021,47
334,4193470,32551,0
335,6141554,24299,0
336,6141556,24307,0
337,4512363,59443,0
338,4612293,92547pr0005,0
339,6133200,22888,0
340,6179181,6192,0
341,4662228,57520,0
342,4508215,30028,0
343,6186030,3710,326
344,6299794,67815,9999
345,4194476,46169,9999
346,486526,4865a,0
347,4194644,44790,0
348,4535892,47517pr0004,0
349,4249861,6260,0
350,444426,4444,0
351,4651057,973c03h01pr1939,0
352,4543333,64271pr0001,0
353,4540656,2545pr0001,0
354,6143933,973c03h03pr3339,0
355,6320054,3830,1
356,6056683,973c03h03pr0811,0
357,6146705,10908pr0012,0
358,4215341,75723pr0001,0
359,6028765,6179pr0009,0
360,4622565,32030,0
361,4644754,41767,0
362,4657869,74664,0
363,6001818,6881b,288
364,4613397,92338,0
365,4162076,41668,0
366,4194023,46033,9999
367,343726,3437,0
368,4652060,98567,0
369,4593567,90622,0
370,4584202,973c03h01pr1607,0
371,4508144,60115,0
372,4504968,57541,0
373,4286009,4510,0
374,4583011,973c03h01pr1589,0
375,4180518,43721,0
376,6030988,4162pr0023,0
377,4100530,4175,0
378,6037746,11153,0
379,6023876,3664pr9998,0
380,4260945,2340,0
381,6056354,15355,0
382,4586991,973c27h27pr1646,0
383,6147017,3068bpr0289,0
384,6147001,87079pr0090,0
385,4225183,970x106,0
386,4587898,973c03h03pr1658,0
387,6033802,973c03h02pr2340,0
388,4291746,54177,0
389,4294850,32296,0
390,4186569,42026,0
391,6016812,99242,0
392,4191191,45677,0
393,4299386,2621,0
394,4587056,973c03h27pr1649,0
395,4160349,41768,0
396,4168685,6405,0
397,4293087,55706,0
398,6132595,973c03h12pr3205,0
399,4596749,973c03h02pr1679,0
400,6132659,973c03h12pr3206,0
401,6138508,3045,31
402,4560174,87082,0
403,4636280,4489a,0
404,4162163,40395,0
405,4546421,61930,0
406,6034898,47517pr0004,0
407,4537504,64263pat0001,0
408,4538972,45117c01,1
409,6023388,973f021pr2043,0
410,4595983,47517pr0004,0
411,4219121,48291,0
412,4520744,6309pr0068,15
413,234626,2346,0
414,4619323,92402,0
415,6296982,6180pr0007,0
416,6019884,60364apr0001,0
417,4599499,92593,0
418,4513216,57915,0
419,4523639,78c10,0
420,4609050,92738,0
421,4506636,41751,0
422,4278796,2614,0
423,6092878,88704,0
424,6009518,11002,0
425,4516718,30104,0
426,4526756,62711,0
427,4597417,92865,0
428,4587844,88930,0
429,6213544,20381c01pr0147,26
430,4288114,53989,135
431,6256981,3456,15
432,6150542,85983,0
433,6062522,15038pr0001,0
434,4544499,41766,0
435,4540334,84565,9999
436,4587899,90460,0
437,4587904,87995,0
438,6057902,92107,0
439,4596660,973c03h12pr1670,0
440,4541678,2544,0
441,6092452,2654pr0001,0
442,6146518,90398pr0011,0
443,3004626,30046,0
444,6132951,23924,0
445,4626184,3626bpr0808,0
446,4614801,44771,0
447,6132615,970c00pr0983,0
448,6132664,970c00pr0984,0
449,6005299,10555,0
450,6020564,970c00pr0424,0
451,4613604,973c03h03pr1727,0
452,4192716,41670,0
453,4610036,973c03h12pr1713,0
454,6045871,973c03h12pr1713,0
455,6004944,10258,0
456,4618118,973c01h01pr1759,0
457,6335440,87999,70
458,6020819,87556pr0001,0
459,4189316,4261,7
460,6038404,85863pr0128,0
461,6337283,23443,320
462,4618117,973c01h01pr1758,0
463,6043809,973c01h01pr1759,0
464,4198998,2922,0
465,6040580,973c12h03pr2425,0
466,4655228,973c03h03pr1954,0
467,4654944,92081,0
468,6008011,970c00pr0379,0
469,6001896,973c27h01pr2033,0
470,6001890,973c03h01pr2031,0
471,4527072,54754pr0001,0
472,6056854,3626cpr1321,0
473,6018646,973c03h01pr2194,0
