,inventory_id,set_num,quantity
0,35,75911-1,1
1,35,75912-1,1
2,39,75048-1,1
3,39,75053-1,1
4,50,4515-1,1
5,50,4520-1,2
6,50,4531-1,1
7,71,7690-1,1
8,71,7691-1,1
9,71,7692-1,1
10,71,7693-1,1
11,71,7694-1,1
12,71,7695-1,1
13,71,7697-1,1
14,81,8451-1,1
15,81,8453-1,1
16,87,10233-1,1
17,87,88002-1,1
18,87,8870-1,1
19,87,8878-1,1
20,87,8879-1,1
21,87,8884-1,1
22,87,8887-1,1
23,104,4103-1,1
24,104,4782-1,1
25,122,7238-1,1
26,122,7890-1,1
27,122,7944-1,1
28,131,7634-1,1
29,131,7635-1,1
30,131,7684-1,1
31,251,3886-2,1
32,309,4515-1,7
33,309,4520-1,5
34,309,4531-1,3
35,311,8593-1,1
36,311,8596-1,1
37,398,71010-1,1
38,398,71010-10,1
39,398,71010-11,1
40,398,71010-12,1
41,398,71010-13,1
42,398,71010-14,1
43,398,71010-15,1
44,398,71010-16,1
45,398,71010-2,1
46,398,71010-3,1
47,398,71010-4,1
48,398,71010-5,1
49,398,71010-6,1
50,398,71010-7,1
51,398,71010-8,1
52,398,71010-9,1
53,473,8756-1,1
54,473,8762-1,1
55,500,9677-1,1
56,500,9678-1,1
57,500,9679-1,1
58,515,3741-1,1
59,515,3745-1,1
60,525,7121-1,1
61,525,7151-1,1
62,528,6604-1,1
63,528,6622-1,1
64,528,6633-1,1
65,561,4515-1,1
66,561,4520-1,2
67,580,3402-1,2
68,580,3403-1,1
69,580,3406-1,1
70,580,3408-1,1
71,580,3409-1,1
72,612,4500-1,1
73,612,4504-1,1
74,614,9441-1,1
75,614,9442-1,1
76,614,9591-1,1
77,695,8607-1,1
78,695,8611-1,1
79,695,8614-1,1
80,695,8616-1,1
81,695,8618-1,1
82,708,8560-1,1
83,708,8564-1,1
84,710,8602-1,1
85,710,8606-1,1
86,710,8614-1,1
87,710,8615-1,1
88,710,8616-1,1
89,758,6712-1,1
90,758,6716-1,1
91,758,6755-1,1
92,889,9490-1,1
93,889,9492-1,1
94,889,9496-1,1
95,908,7030-1,1
96,908,7031-1,1
97,908,7032-1,1
98,908,7033-1,1
99,908,7034-1,1
100,908,7035-1,1
101,909,1557-1,1
102,909,1558-1,1
103,916,76029-1,1
104,916,76030-1,1
105,916,76031-1,1
106,916,76032-1,1
107,916,76038-1,1
108,916,76041-1,1
109,920,9674-1,1
110,920,9675-1,1
111,920,9676-1,1
112,962,7990-1,1
113,962,7991-1,1
114,962,7993-1,1
115,973,8870-1,1
116,973,8878-1,1
117,973,8879-1,1
118,973,8882-1,1
119,973,8884-1,1
120,973,8887-1,1
121,994,4096-1,1
122,994,4100-1,1
123,1130,20203-1,1
124,1130,20204-1,1
