,inventory_id,fig_num,quantity
0,3,fig-001549,1
1,4,fig-000764,1
2,19,fig-000555,1
3,25,fig-000574,1
4,26,fig-000842,1
5,26,fig-008641,1
6,26,fig-008642,1
7,26,fig-008643,1
8,26,fig-008644,1
9,26,fig-008645,1
10,27,fig-000359,1
11,28,fig-000787,1
12,28,fig-000817,1
13,28,fig-006715,1
14,30,fig-006797,1
15,30,fig-006798,1
16,33,fig-008216,1
17,33,fig-008217,1
18,33,fig-008218,1
19,34,fig-001539,1
20,42,fig-001079,1
21,52,fig-000720,1
22,52,fig-008819,1
23,54,fig-001155,1
24,55,fig-000020,1
25,55,fig-001127,2
26,55,fig-006908,1
27,56,fig-006105,1
28,56,fig-006107,1
29,56,fig-006140,1
30,56,fig-006141,1
31,56,fig-006142,1
32,56,fig-006143,1
33,58,fig-002524,1
34,58,fig-004083,1
35,58,fig-004084,1
36,58,fig-004085,1
37,61,fig-000253,1
38,61,fig-000485,1
39,63,fig-000061,2
40,64,fig-008580,1
41,64,fig-008614,1
42,64,fig-008615,1
43,65,fig-000539,1
44,67,fig-000419,1
45,68,fig-000508,1
46,69,fig-003552,1
47,73,fig-002163,1
48,73,fig-002164,1
49,73,fig-002165,1
50,73,fig-002166,1
51,84,fig-001047,1
52,86,fig-001309,1
53,88,fig-000102,1
54,88,fig-000103,1
55,88,fig-008655,1
56,89,fig-001714,1
57,89,fig-004139,1
58,89,fig-004140,1
59,89,fig-004141,1
60,89,fig-004142,1
61,92,fig-000225,1
62,92,fig-001134,3
63,94,fig-000993,1
64,94,fig-004836,6
65,94,fig-004843,3
66,94,fig-004844,1
67,94,fig-004851,2
68,98,fig-005782,1
69,100,fig-001429,1
70,102,fig-001216,1
71,105,fig-000419,1
72,106,fig-000255,1
73,112,fig-002423,2
74,112,fig-002424,1
75,112,fig-002425,1
76,112,fig-002426,1
77,113,fig-004829,1
78,113,fig-011205,1
79,115,fig-009362,1
80,115,fig-009363,1
81,118,fig-000320,1
82,123,fig-002587,1
83,123,fig-002588,1
84,132,fig-000707,1
85,136,fig-010500,1
86,142,fig-000381,1
87,142,fig-001214,1
88,142,fig-006408,1
89,142,fig-006409,1
90,142,fig-006410,1
91,142,fig-006411,1
92,142,fig-006413,1
93,142,fig-006765,1
94,142,fig-006766,1
95,142,fig-006768,1
96,142,fig-006770,1
97,142,fig-006771,1
98,148,fig-005018,1
99,148,fig-005019,1
100,151,fig-000191,3
101,151,fig-009527,1
102,151,fig-009894,1
103,151,fig-009926,2
104,151,fig-009944,1
105,151,fig-009945,1
106,152,fig-001953,1
107,152,fig-005004,1
108,152,fig-005005,1
109,153,fig-008279,1
110,153,fig-008280,1
111,159,fig-001010,2
112,159,fig-004401,1
113,159,fig-005101,2
114,159,fig-005110,1
115,159,fig-005120,1
116,159,fig-005121,1
117,159,fig-005122,1
118,159,fig-005123,1
119,163,fig-009558,1
120,173,fig-001111,1
121,179,fig-000194,1
122,182,fig-001329,1
123,186,fig-007690,1
124,186,fig-009778,1
125,186,fig-009779,1
126,186,fig-009780,1
127,186,fig-009781,1
128,186,fig-009782,1
129,186,fig-009783,1
130,186,fig-009784,1
131,186,fig-009785,1
132,186,fig-009786,1
133,186,fig-009787,1
134,186,fig-009788,1
135,186,fig-009789,1
136,186,fig-009790,1
137,186,fig-009791,1
138,191,fig-006635,1
139,194,fig-000227,1
140,206,fig-002267,1
141,206,fig-002268,1
142,206,fig-002271,1
143,206,fig-002272,1
144,206,fig-002274,1
145,206,fig-002276,1
146,206,fig-010421,1
147,210,fig-000174,1
148,210,fig-000183,1
149,210,fig-000389,1
150,210,fig-000405,1
151,210,fig-000988,1
152,210,fig-001184,2
153,210,fig-008293,1
154,210,fig-008294,1
155,210,fig-008295,1
156,210,fig-008296,1
157,210,fig-008297,1
158,210,fig-008298,1
159,212,fig-001043,1
160,217,fig-005948,1
161,217,fig-007999,1
162,218,fig-007213,1
163,218,fig-007231,1
164,220,fig-000339,1
165,221,fig-001205,1
166,224,fig-001508,1
167,226,fig-000125,1
168,229,fig-001125,1
169,229,fig-008574,1
170,232,fig-000487,1
171,233,fig-002161,1
172,234,fig-003982,1
173,234,fig-004081,2
174,234,fig-004082,1
175,238,fig-000352,1
176,239,fig-002118,1
177,239,fig-006480,1
178,240,fig-008576,1
179,240,fig-008577,1
180,240,fig-008578,1
181,243,fig-001442,1
182,245,fig-002330,16
183,245,fig-003687,2
184,245,fig-003688,2
185,245,fig-003689,1
186,258,fig-001081,1
187,259,fig-001172,1
188,262,fig-001053,1
189,268,fig-000648,1
190,269,fig-001492,1
191,269,fig-007884,1
192,269,fig-007887,1
193,275,fig-000124,1
194,275,fig-003697,1
195,276,fig-001157,1
196,282,fig-009537,1
197,284,fig-000039,2
198,284,fig-000225,1
199,284,fig-000344,1
200,294,fig-000864,1
201,299,fig-001399,1
202,301,fig-000061,1
203,302,fig-000510,1
204,303,fig-000263,1
205,304,fig-008297,1
206,304,fig-009006,1
207,305,fig-002471,1
208,305,fig-005212,1
209,305,fig-005229,1
210,305,fig-005320,1
211,305,fig-005529,1
212,305,fig-005550,1
213,305,fig-005559,1
214,305,fig-005846,1
215,313,fig-004995,1
216,313,fig-005003,1
217,319,fig-000229,1
218,319,fig-001285,1
219,319,fig-008535,1
220,319,fig-008536,1
221,319,fig-008537,1
222,325,fig-006802,1
223,325,fig-006803,1
224,325,fig-006804,1
225,325,fig-006805,1
226,326,fig-001029,1
227,330,fig-007376,1
228,330,fig-007377,1
229,330,fig-007378,1
230,330,fig-007379,1
231,330,fig-007380,1
232,330,fig-007381,1
233,330,fig-007382,1
234,332,fig-003086,1
235,332,fig-006098,1
236,332,fig-006108,1
237,332,fig-006109,1
238,334,fig-001351,1
239,335,fig-000236,2
240,336,fig-009149,1
241,336,fig-009150,1
242,337,fig-000341,2
243,349,fig-003302,1
244,349,fig-003303,1
245,350,fig-000065,3
246,354,fig-000105,1
247,354,fig-006958,1
248,354,fig-006959,1
249,357,fig-000149,1
250,369,fig-000068,1
251,372,fig-003276,1
252,372,fig-003277,1
253,372,fig-003278,1
254,373,fig-000123,1
255,373,fig-000738,1
256,374,fig-000692,1
257,375,fig-006799,1
258,375,fig-006800,1
259,378,fig-000956,1
260,385,fig-000729,1
261,394,fig-000584,1
262,395,fig-004978,1
263,395,fig-004979,1
264,395,fig-004986,1
265,397,fig-000656,1
266,401,fig-000130,1
267,403,fig-005062,1
268,403,fig-005307,1
269,403,fig-005308,1
270,409,fig-005073,1
271,409,fig-005074,1
272,409,fig-005075,1
273,411,fig-000100,1
274,412,fig-000669,1
275,412,fig-005652,1
276,412,fig-005653,1
277,422,fig-000715,1
278,422,fig-008814,1
279,422,fig-008815,1
280,423,fig-009746,1
281,423,fig-009747,1
282,423,fig-009748,1
283,423,fig-009749,1
284,423,fig-009750,1
285,427,fig-003778,1
286,427,fig-003779,1
287,427,fig-003780,1
288,431,fig-007006,1
289,431,fig-007007,1
290,432,fig-001582,1
291,432,fig-001659,1
292,432,fig-007891,1
293,432,fig-007892,1
294,433,fig-003807,1
295,433,fig-003808,1
296,433,fig-003809,2
297,434,fig-002773,1
298,434,fig-002774,1
299,434,fig-002775,1
300,436,fig-000470,2
301,436,fig-006972,1
302,437,fig-007882,1
303,437,fig-007884,1
304,437,fig-007885,1
305,437,fig-007886,1
306,437,fig-007887,1
307,437,fig-007888,1
308,440,fig-000312,1
309,441,fig-000400,1
310,441,fig-004757,1
311,441,fig-005126,1
312,442,fig-001200,1
313,444,fig-008052,1
314,444,fig-008058,1
315,446,fig-000020,1
316,447,fig-001561,1
317,452,fig-000397,1
318,454,fig-000124,1
319,454,fig-003536,1
320,454,fig-003537,1
321,454,fig-003538,1
322,454,fig-003539,1
323,454,fig-003540,1
324,457,fig-000504,1
325,465,fig-006554,1
326,465,fig-006854,1
327,465,fig-006857,1
328,465,fig-006861,1
329,465,fig-006866,1
330,465,fig-006871,1
331,467,fig-001127,1
332,467,fig-006910,1
333,468,fig-001363,1
334,468,fig-003332,1
335,468,fig-003333,1
336,468,fig-003334,1
337,468,fig-003335,1
338,472,fig-000195,1
339,475,fig-000762,1
340,475,fig-000782,2
341,477,fig-001147,1
342,482,fig-006882,1
343,482,fig-006883,1
344,484,fig-009315,1
345,491,fig-008687,1
346,491,fig-008688,1
347,498,fig-001134,2
348,499,fig-004970,1
349,499,fig-004973,1
350,502,fig-000775,1
351,505,fig-001190,1
352,505,fig-003309,2
353,505,fig-003315,1
354,505,fig-003316,1
355,505,fig-003317,1
356,506,fig-007616,1
357,506,fig-007617,1
358,506,fig-007618,1
359,506,fig-007619,1
360,511,fig-000457,1
361,511,fig-006084,1
362,511,fig-006122,1
363,511,fig-006157,1
364,511,fig-006159,1
365,511,fig-006160,1
366,511,fig-006161,1
367,512,fig-001024,1
368,517,fig-000560,1
369,518,fig-007208,1
370,518,fig-007210,1
371,523,fig-000806,1
372,523,fig-003781,1
373,523,fig-003810,2
374,523,fig-003811,1
375,541,fig-005963,1
376,541,fig-012384,1
377,544,fig-005958,1
378,544,fig-005959,1
379,544,fig-005960,1
380,547,fig-000532,1
381,549,fig-010665,1
382,551,fig-000523,1
383,557,fig-000294,1
384,557,fig-006750,1
385,557,fig-006752,1
386,557,fig-006753,1
387,557,fig-006754,1
388,557,fig-006755,1
389,557,fig-006757,1
390,557,fig-006758,1
391,557,fig-006759,1
392,557,fig-006761,1
393,557,fig-006762,1
394,557,fig-006763,1
395,558,fig-002118,1
396,558,fig-006478,1
397,558,fig-006479,1
398,560,fig-000262,1
399,567,fig-005678,1
400,567,fig-005679,1
401,575,fig-000090,1
402,576,fig-000023,1
403,577,fig-001168,1
404,577,fig-002214,1
405,577,fig-004562,1
