,rel_type,child_part_num,parent_part_num
0,P,3626cpr3662,3626c
1,P,87079pr9974,87079
2,P,3960pr9971,3960
3,R,98653pr0003,98086pr0003
4,R,98653pr0003,98088pat0003
5,R,98653pr0003,98089pat0003
6,R,98653pr0003,98087
7,R,43750pr0001,43746pr0001
8,R,43750pr0001,43936pr0001
9,M,3192a,3192
10,A,50990b,50990a
11,P,21019c00pat012pr0001,21019c00pat012
12,P,27382pr0005,27382
13,P,3298pr0033,3298
14,R,4109154pr0002,4109154pr0001
15,P,19729pr0030,19729
16,P,3070bpr0036,3070b
17,P,6180pr0011,6180
18,P,36036pr9996,36036
19,P,76371pr0109,76371
20,B,43464,6282
21,P,3626cpr1951,3626c
22,P,3626cpr9970,3626c
23,P,76371pr0112,76371
24,P,3069bpr0235,3069b
25,P,3626cpr1162,3626c
26,P,3626cpr3305,3626c
27,P,3010pr0037,3010
28,P,3626cpr2695,3626c
29,P,3010pr0038,3010
30,P,3626cpr2705,3626c
31,P,2586pr0025,2586
32,P,3626cpr2617,3626c
33,P,3626cpr1952,3626c
34,P,87079pr9996,87079
35,R,19215,56145
36,P,3626cpr9829,3626c
37,P,970c00pr1352,970c00
38,P,3626cpr3306,3626c
39,A,3933a,3933
40,P,3678bpr0046,3678b
41,P,32086pr0001,32086
42,P,60581pr9998,60581
43,M,92950,3455
44,P,14732pr0003,14732
45,P,3626cpr9968,3626c
46,A,11954,62531
47,A,973c37h01pr9999,973c37h01pr1947
48,P,76371pr0104,76371
49,P,3005pr9882,3005
50,P,31110pr0019,31110
51,R,2648,2649
52,P,3626cpr9976,3626c
53,B,54129,upn0366
54,B,upn0364pr0001,upn0366
55,P,3004pr0004,3004
56,P,3069bpr0015,3069b
57,P,3678bpr0061,3678b
58,P,3069bpr0220,3069b
59,A,scafig0013pr0002,scafig0013pr0001
60,P,3005pr9881,3005
61,P,27382pr0002,27382
62,P,2302pr0009,2302
63,P,3623pr0019,3623
64,P,3622pr0029,3622
65,P,4066pr0129,4066
66,P,4740pr0001,4740
67,P,31110pr0110,31110
68,P,21271pr0001,21271
69,P,11344pr0009,11344
70,P,98223pr0022,98223
71,P,3011pr1012,3011
72,P,4198pr0005,4198
73,P,3005pr9880,3005
74,M,3626cpr0816,3626bpr0816
75,P,3005pr9879,3005
76,P,4198pr0012,4198
77,P,3005pr9878,3005
78,P,31110pr0115,31110
79,P,3011pr9999,3011
80,P,3005pr9877,3005
